time,thrust,rate_sp.x,rate_sp.y,rate_sp.z,tau_sp.x,tau_sp.y,tau_sp.z,m.1,m.2,m.3,m.4
5,0,0,0,0,2.66059e-05,1.06494e-06,1.97786e-06,-0.230606,0.56632,-0.167855,-0.167859
10,0,0,5.88883e-07,1.06066,-5.06134e-05,-3.95624e-06,0.00753497,-0.183776,-0.151938,0.582249,-0.246535
15,0,0,3.78064e-06,1.06066,-1.2877e-05,-1.62551e-06,0.00752224,-0.183752,-0.151962,0.582216,-0.246502
20,0,0,4.88065e-06,1.06066,1.22037e-05,-1.11041e-06,0.00752515,0.151954,0.18376,0.246507,-0.582222
25,0,0,8.88173e-07,1.06066,-8.84235e-06,3.35975e-07,0.00752089,-0.582211,0.246496,0.183752,0.151962
30,0,0,-6.5757e-06,1.06066,2.3599e-05,2.94433e-06,0.00752998,-0.246522,0.582236,-0.151947,-0.183767
35,0,0,-2.51451e-05,1.06066,4.67763e-05,6.85117e-06,0.00753546,-0.246542,0.582256,-0.151942,-0.183772
40,0,0,-3.81129e-05,1.06066,-2.56834e-05,-2.89028e-06,0.00753243,-0.183773,-0.151941,0.582242,-0.246527
45,0,0,-3.57494e-05,1.06066,-5.33322e-06,9.73788e-07,0.00753535,-0.582244,0.24653,0.183783,0.151931
50,0,0,-4.0784e-05,1.06066,6.98582e-05,1.26519e-06,0.00752235,-0.246501,0.582216,-0.151961,-0.183753
55,0,0,-6.83723e-05,1.06066,7.85472e-05,3.86195e-06,0.00753095,-0.246526,0.58224,-0.151947,-0.183768
60,0,0,-9.42324e-05,1.06066,0.000108036,-1.01966e-05,0.00753618,0.151947,0.183767,0.24655,-0.582264
65,0,0,-8.32582e-05,1.06066,-2.41851e-05,2.32757e-06,0.00753672,-0.58225,0.246536,0.183784,0.151931
70,0,0,-1.46979e-05,1.06066,-0.000315842,9.25447e-07,0.00753751,-0.582249,0.246535,0.183788,0.151926
75,0,0,7.82911e-05,1.06066,-0.000355226,4.59785e-06,0.00753684,-0.582254,0.246541,0.183779,0.151934
80,0,0,0.000154964,1.06066,-0.000324926,6.19159e-06,0.00752124,-0.582222,0.246509,0.18374,0.151973
85,0,0,0.000174057,1.06066,0.000144927,1.05864e-06,0.0075296,-0.246517,0.582231,-0.151944,-0.18377
90,0,0,0.000118255,1.06066,0.00025985,5.95588e-06,0.00752552,-0.246518,0.582232,-0.151963,-0.183751
95,0,0,2.56337e-05,1.06066,0.00030499,1.82909e-06,0.00753675,-0.246535,0.582249,-0.151929,-0.183784
100,0,0,-5.86601e-05,1.06066,0.000233637,-6.60329e-06,0.00753477,0.151943,0.18377,0.24654,-0.582254
105,0,1.49699e-08,-8.46751e-05,1.06066,2.67698e-05,2.05389e-06,0.00753794,-0.246538,0.582252,-0.151927,-0.183787
110,0,9.86006e-06,1.35387e-05,1.06065,-0.000521353,-1.18119e-05,0.00752987,-0.183748,-0.151963,0.582252,-0.246541
115,0,3.95154e-05,0.000262619,1.06064,-0.000922087,-2.25721e-05,0.00752371,-0.183709,-0.151995,0.582256,-0.246551
120,0,7.04791e-05,0.000589431,1.06062,-0.00124265,-1.89314e-05,0.00751861,-0.183701,-0.151995,0.582233,-0.246537
125,0,0.000101438,0.000931299,1.0606,-0.00111207,-2.79506e-05,0.00751708,-0.183682,-0.152018,0.582249,-0.246549
130,0,0.000132393,0.00122907,1.06058,-0.000799627,-2.378e-05,0.00751896,-0.183698,-0.152009,0.582249,-0.246542
135,0,0.000163345,0.00142574,1.06056,-0.000390721,-1.69729e-05,0.00751072,-0.183695,-0.152017,0.582219,-0.246507
140,0,0.000194294,0.00146647,1.06054,0.000254136,-1.21873e-05,0.00751927,0.151989,0.183724,0.246516,-0.58223
145,0,0.000225244,0.00133432,1.06052,0.000912163,-7.77205e-06,0.00751025,0.151996,0.183708,0.246492,-0.582196
150,0,0.000256194,0.00109382,1.0605,0.00109561,-1.40344e-05,0.0075091,0.152009,0.183691,0.246504,-0.582204
155,0,0.000287147,0.000816287,1.06048,0.0011936,-1.70618e-05,0.00750831,0.152015,0.183682,0.246509,-0.582207
160,0,0.000313478,0.000564943,1.06046,0.00105008,-1.13146e-05,0.00750398,0.152016,0.183686,0.246486,-0.582188
165,0,0.00030769,0.000376842,1.06042,0.000559162,2.21497e-05,0.00747879,-0.246446,0.582157,-0.152098,-0.183612
170,0,0.000245225,0.000291213,1.06034,-8.30381e-05,7.3083e-05,0.00745745,-0.582211,0.246497,0.183466,0.152249
175,0,0.000137059,0.00034347,1.06024,-0.000730859,9.78537e-05,0.00744262,-0.582224,0.246516,0.18338,0.152328
180,0,1.93521e-05,0.000500482,1.06012,-0.00108029,9.33119e-05,0.00744308,-0.582212,0.246511,0.183386,0.152314
185,0,-9.83484e-05,0.000694935,1.06001,-0.00115148,9.58524e-05,0.00743677,-0.582202,0.246503,0.183366,0.152332
190,0,-0.000216043,0.000854263,1.0599,-0.00093134,0.000103058,0.00744213,-0.582231,0.246527,0.183367,0.152337
195,0,-0.000333555,0.000910097,1.05979,-0.000450532,9.5286e-05,0.00744109,-0.582217,0.246505,0.183384,0.152328
200,0,-0.000438256,0.000810239,1.05967,0.000240477,8.26878e-05,0.00742548,-0.246444,0.582158,-0.152339,-0.183374
205,0,-0.000505239,0.000558355,1.05953,0.000884279,4.17446e-05,0.00739901,-0.246308,0.582013,-0.152314,-0.183391
210,0,-0.000513968,0.000245247,1.05935,0.00124251,-1.51339e-05,0.00735697,0.152351,0.183345,0.246166,-0.581862
215,0,-0.000450144,-3.60832e-05,1.05913,0.00115591,-5.81024e-05,0.00732867,0.152501,0.183198,0.246186,-0.581884
220,0,-0.000342719,-0.000237228,1.05888,0.000976679,-9.32494e-05,0.00731002,0.152614,0.183089,0.246211,-0.581914
225,0,-0.000197468,-0.000291141,1.0586,0.000508369,-0.000125979,0.00729137,0.152725,0.182986,0.24623,-0.581941
230,0,-1.4238e-05,-0.000129413,1.0583,-0.000268211,-0.000161974,0.0072652,-0.182858,-0.152856,0.581955,-0.246241
235,0,0.000193827,0.000255866,1.05799,-0.00086998,-0.000162749,0.00726422,-0.18285,-0.152855,0.58195,-0.246245
240,0,0.000395949,0.00075706,1.05767,-0.00118359,-0.000145991,0.00724948,-0.182846,-0.152852,0.58188,-0.246182
245,0,0.000564577,0.00126293,1.05732,-0.00127159,-0.00010787,0.00722398,-0.182863,-0.152832,0.581746,-0.246051
250,0,0.000658631,0.00165449,1.05693,-0.000939261,-3.30834e-05,0.00718523,-0.182928,-0.152776,0.581516,-0.245812
255,0,0.000636611,0.0018177,1.05647,-0.000394658,7.95318e-05,0.00710736,-0.581438,0.245725,0.182667,0.153046
260,0,0.000481975,0.00166538,1.05593,0.000452276,0.000166219,0.0070479,-0.245764,0.581476,-0.15335,-0.182362
265,0,0.000230437,0.00120666,1.05533,0.00105266,0.000227699,0.00700073,-0.245786,0.581487,-0.153572,-0.18213
270,0,-6.97773e-05,0.000567772,1.05469,0.00144089,0.000258946,0.00698527,-0.245819,0.581509,-0.153662,-0.182028
275,0,-0.000378729,-0.000126168,1.05405,0.00145134,0.000242294,0.00697467,-0.245762,0.581452,-0.153653,-0.182037
280,0,-0.000686675,-0.000785335,1.05341,0.00120455,0.000234649,0.00697774,-0.24575,0.581447,-0.153635,-0.182063
285,0,-0.000977967,-0.00131969,1.05275,0.000680193,0.000217091,0.00695521,-0.245659,0.581368,-0.153656,-0.182053
290,0,-0.00121598,-0.00162427,1.05206,-8.83887e-05,0.000154726,0.00690871,-0.581144,0.245429,0.182075,0.153639
295,0,-0.00135889,-0.00163792,1.0513,-0.000834094,6.12384e-05,0.00685245,-0.58083,0.245123,0.182131,0.153576
300,0,-0.0013665,-0.00140137,1.05047,-0.00119089,-6.00238e-05,0.00677469,-0.181956,-0.153742,0.58065,-0.244952
305,0,-0.00122595,-0.000989889,1.04954,-0.00111715,-0.000159256,0.00669659,-0.181587,-0.154113,0.580673,-0.244973
310,0,-0.000979741,-0.000527658,1.04854,-0.000781941,-0.000217404,0.00664975,-0.181371,-0.154336,0.580688,-0.244981
