time,p.x,p.y,p.z,att.x,att.y,att.z,attq.w,attq.x,attq.y,attq.z,v.x,v.y,v.z,v.r,v.p,v.yaw,pdot.x,pdot.y,pdot.z,vdot.x,vdot.y,vdot.z,vdot.r,vdot.p,vdot.yaw
5,-1, 1, 4,-0, 0, -0,1,0,0,0,0, 0, 0, 0, 0, 0,0, 0, 0,0, 0, 0, 0, 0, 0
10,-1, 1, 4,-0, 0, -0,1,0,0,0,0, 0, 0, 0, 0, 0,0, 0, 0,0, 0, 0, 0, 0, 0
15,-1, 1, 4,-0, 0, -0,1,0,0,0,0, 0, 0, 0, 0, 0,0, 0, 0,0, 0, 0, 0, 0, 0
20,-1, 1, 4,-0, 0, -0,1,0,0,0,0, 0, 0, 0, 0, 0,0, 0, 0,0, 0, 0, 0, 0, 0
25,-1, 1, 4,-0, 0, -0,1,0,0,0,0, 0, 0, 0, 0, 0,0, 0, 0,0, 0, 0, 0, 0, 0
30,-1, 1, 4,-0, 0, -0,1,0,0,0,0, 0, 0, 0, 0, 0,0, 0, 0,0, 0, 0, 0, 0, 0
35,-1, 1, 4,-0, 0, -0,1,0,0,0,0, 0, 0, 0, 0, 0,0, 0, 0,0, 0, 0, 0, 0, 0
40,-1, 1, 4,-0, 0, -0,1,0,0,0,0, 0, 0, 0, 0, 0,0, 0, 0,0, 0, 0, 0, 0, 0
45,-1, 1, 4,-0, 0, -0,1,0,0,0,1.16874e-05, 0, 0, 0, 0, 0,1.16874e-05, 0, 0,0.0116874, 0, 0, 0, 0, 0
50,-0.999996, 1, 4,-0, 0, -0,1,0,0,0,0.00154446, 0, 0, 0, 0, 0,0.00154446, 0, 0,0.506002, 0, 0, 0, 0, 0
55,-0.999977, 1, 4,-0, 0, -0,1,0,0,0,0.00560733, 0, 0, 0, 0, 0,0.00560733, 0, 0,1.01911, 0, 0, 0, 0, 0
60,-0.99993, 1, 4,-0, 0, -0,1,0,0,0,0.0122788, 0, 0, 0, 0, 0,0.0122788, 0, 0,1.54594, 0, 0, 0, 0, 0
65,-0.999842, 1, 4,-0, 0, -0,1,0,0,0,0.0216137, 0, 0, 0, 0, 0,0.0216137, 0, 0,2.08193, 0, 0, 0, 0, 0
70,-0.999699, 1, 4,-0, 0, -0,1,0,0,0,0.0336451, 0, 0, 0, 0, 0,0.0336451, 0, 0,2.62294, 0, 0, 0, 0, 0
75,-0.999488, 1, 4,-0, 0, -0,1,0,0,0,0.0483868, 0, 0, 0, 0, 0,0.0483868, 0, 0,3.16519, 0, 0, 0, 0, 0
80,-0.999194, 1, 4,-0, 0, -0,1,0,0,0,0.0658344, 0, 0, 0, 0, 0,0.0658344, 0, 0,3.70521, 0, 0, 0, 0, 0
85,-0.998806, 1, 4,-0, 0, -0,1,0,0,0,0.0859402, 0, 0, 0, 0, 0,0.0859402, 0, 0,4.22414, 0, 0, 0, 0, 0
90,-0.99831, 1, 4,-0, 0, -0,1,0,0,0,0.108528, 0, 0, 0, 0, 0,0.108528, 0, 0,4.71073, 0, 0, 0, 0, 0
95,-0.997693, 1, 4,-0, 0, -0,1,0,0,0,0.133487, 0, 0, 0, 0, 0,0.133487, 0, 0,5.17596, 0, 0, 0, 0, 0
100,-0.996945, 1, 4,-0, 0, -0,1,0,0,0,0.160697, 0, 0, 0, 0, 0,0.160697, 0, 0,5.61583, 0, 0, 0, 0, 0
105,-0.996054, 1, 4,-0, 0, -0,1,0,0,0,0.190021, 0, 0, 0, 0, 0,0.190021, 0, 0,6.02656, 0, 0, 0, 0, 0
110,-0.995011, 1, 4,-0, 0, -0,1,0,0,0,0.221302, 0, 0, 0, 0, 0,0.221302, 0, 0,6.40469, 0, 0, 0, 0, 0
115,-0.993806, 1, 4,-0, 0, -0,1,0,0,0,0.254368, 0, 0, 0, 0, 0,0.254368, 0, 0,6.74714, 0, 0, 0, 0, 0
120,-0.992431, 1, 4,-0, 0, -0,1,0,0,0,0.289031, 0, 0, 0, 0, 0,0.289031, 0, 0,7.05126, 0, 0, 0, 0, 0
125,-0.990878, 1, 4,-0, 0, -0,1,0,0,0,0.325095, 0, 0, 0, 0, 0,0.325095, 0, 0,7.31488, 0, 0, 0, 0, 0
130,-0.989141, 1, 4,-0, 0, -0,1,0,0,0,0.362351, 0, 0, 0, 0, 0,0.362351, 0, 0,7.5364, 0, 0, 0, 0, 0
135,-0.987215, 1, 4,-0, 0, -0,1,0,0,0,0.400586, 0, 0, 0, 0, 0,0.400586, 0, 0,7.71477, 0, 0, 0, 0, 0
140,-0.985095, 1, 4,-0, 0, -0,1,0,0,0,0.439581, 0, 0, 0, 0, 0,0.439581, 0, 0,7.84955, 0, 0, 0, 0, 0
145,-0.982779, 1, 4,-0, 0, -0,1,0,0,0,0.47912, 0, 0, 0, 0, 0,0.47912, 0, 0,7.94093, 0, 0, 0, 0, 0
150,-0.980264, 1, 4,-0, 0, -0,1,0,0,0,0.518988, 0, 0, 0, 0, 0,0.518988, 0, 0,7.98969, 0, 0, 0, 0, 0
155,-0.977549, 1, 4,-0, 0, -0,1,0,0,0,0.558975, 0, 0, 0, 0, 0,0.558975, 0, 0,7.99718, 0, 0, 0, 0, 0
160,-0.974634, 1, 4,-0, 0, -0,1,0,0,0,0.598881, 0, 0, 0, 0, 0,0.598881, 0, 0,7.96527, 0, 0, 0, 0, 0
165,-0.971521, 1, 4,-0, 0, -0,1,0,0,0,0.638515, 0, 0, 0, 0, 0,0.638515, 0, 0,7.89633, 0, 0, 0, 0, 0
170,-0.96821, 1, 4,-0, 0, -0,1,0,0,0,0.6777, 0, 0, 0, 0, 0,0.6777, 0, 0,7.79309, 0, 0, 0, 0, 0
