time,tau1,tau2,tau3,tau4,tau5,tau6
5,0, 0, 0, 0, 0, 0
10,0, 0, 0, 0, 0, 0
15,0, 0, 0, 0, 0, 0
20,0, 0, 0, 0, 0, 0
25,0, 0, 0, 0, 0, 0
30,0, 0, 0, 0, 0, 0
35,0, 0, 0, 0, 0, 0
40,0, 0, 0, 0, 0, 0
45,0.00420481, 0, 0, 0, 0, 0
50,0.182045, 0, 0, 0, 0, 0
55,0.366647, 0, 0, 0, 0, 0
60,0.556185, 0, 0, 0, 0, 0
65,0.74902, 0, 0, 0, 0, 0
70,0.943661, 0, 0, 0, 0, 0
75,1.13875, 0, 0, 0, 0, 0
80,1.33303, 0, 0, 0, 0, 0
85,1.52536, 0, 0, 0, 0, 0
90,1.71468, 0, 0, 0, 0, 0
95,1.90005, 0, 0, 0, 0, 0
100,2.08058, 0, 0, 0, 0, 0
105,2.25549, 0, 0, 0, 0, 0
110,2.42407, 0, 0, 0, 0, 0
115,2.5857, 0, 0, 0, 0, 0
120,2.73987, 0, 0, 0, 0, 0
125,2.88614, 0, 0, 0, 0, 0
130,3.02419, 0, 0, 0, 0, 0
135,3.15378, 0, 0, 0, 0, 0
140,3.27479, 0, 0, 0, 0, 0
145,3.38718, 0, 0, 0, 0, 0
150,3.491, 0, 0, 0, 0, 0
155,3.58642, 0, 0, 0, 0, 0
160,3.67367, 0, 0, 0, 0, 0
165,3.75305, 0, 0, 0, 0, 0
170,3.82494, 0, 0, 0, 0, 0
175,3.88974, 0, 0, 0, 0, 0
180,3.94792, 0, 0, 0, 0, 0
185,3.99998, 0, 0, 0, 0, 0
190,4.0464, 0, 0, 0, 0, 0
195,4.08769, 0, 0, 0, 0, 0
200,4.12437, 0, 0, 0, 0, 0
205,4.15691, 0, 0, 0, 0, 0
210,4.18579, 0, 0, 0, 0, 0
215,4.21145, 0, 0, 0, 0, 0
220,4.2343, 0, 0, 0, 0, 0
225,4.25473, 0, 0, 0, 0, 0
230,4.27306, 0, 0, 0, 0, 0
235,4.28962, 0, 0, 0, 0, 0
240,4.30468, 0, 0, 0, 0, 0
