time,Vnom,I_mA,mAh_remaining
5,8.4,5.88,100
10,8.4,5.88,100
15,8.39999,309.519,100
20,8.39999,496.107,100
25,8.39999,610.989,99.9999
30,8.39999,689.395,99.9999
35,8.39998,758.26,99.9998
40,8.39998,837.744,99.9998
45,8.39998,942.506,99.9997
50,8.39997,1082.77,99.9997
55,8.39997,1265.22,99.9996
60,8.39996,1493.69,99.9995
65,8.39996,1769.85,99.9994
70,8.39995,2093.63,99.9993
75,8.39994,2463.68,99.9991
80,8.39993,2877.69,99.999
85,8.39992,3332.66,99.9988
90,8.3999,3825.12,99.9985
95,8.39989,4351.32,99.9983
100,8.39987,4907.35,99.998
105,8.39986,5489.28,99.9976
110,8.39984,6093.21,99.9973
115,8.39982,6715.36,99.9969
120,8.3998,7352.09,99.9964
125,8.39978,7999.97,99.9959
130,8.39975,8655.78,99.9954
135,8.39973,9316.53,99.9948
140,8.39971,9979.47,99.9942
145,8.39968,10642.1,99.9936
150,8.39966,11302.1,99.9929
155,8.39963,11957.4,99.9921
160,8.39961,12606.2,99.9913
165,8.39958,13246.9,99.9905
170,8.39955,13878.1,99.9897
175,8.39952,14498.4,99.9888
180,8.39949,15107,99.9878
185,8.39946,15702.7,99.9868
190,8.39943,16285,99.9858
195,8.3994,16853.1,99.9848
200,8.39937,17406.6,99.9837
205,8.39934,17945.2,99.9826
210,8.39931,18468.4,99.9814
215,8.39928,18976.2,99.9802
220,8.39924,19468.4,99.979
225,8.39921,19945.1,99.9778
230,8.39918,20406.2,99.9765
235,8.39914,20851.8,99.9752
240,8.39911,21282.1,99.9739
245,8.39908,21697.3,99.9725
250,8.39904,22097.6,99.9711
255,8.39901,22483.2,99.9697
260,8.39897,22854.5,99.9683
265,8.39894,23211.7,99.9668
270,8.3989,23555.2,99.9653
275,8.39887,23885.3,99.9638
280,8.39883,24202.3,99.9623
285,8.3988,24506.7,99.9608
290,8.39876,24798.8,99.9592
295,8.39873,25078.9,99.9576
300,8.39869,25347.5,99.9561
305,8.39866,25604.9,99.9544
310,8.39862,25851.5,99.9528
315,8.39858,26087.6,99.9512
320,8.39855,26313.7,99.9495
325,8.39851,26530,99.9478
330,8.39848,26737,99.9462
335,8.39844,26935,99.9445
340,8.3984,27124.3,99.9428
345,8.39837,27305.3,99.941
350,8.39833,27478.3,99.9393
355,8.39829,27643.5,99.9376
360,8.39826,27801.4,99.9358
365,8.39822,27952.2,99.9341
370,8.39818,28096.2,99.9323
375,8.39815,28233.7,99.9305
380,8.39811,28364.9,99.9287
385,8.39807,28490.2,99.9269
390,8.39804,28609.7,99.9251
395,8.398,28723.7,99.9233
400,8.39796,28832.5,99.9215
405,8.39792,28936.3,99.9197
410,8.39789,29035.2,99.9178
415,8.39785,29129.6,99.916
420,8.39781,29219.6,99.9142
425,8.39778,29305.4,99.9123
430,8.39774,29387.1,99.9105
435,8.3977,29465.1,99.9086
440,8.39766,29539.4,99.9067
445,8.39763,29610.2,99.9049
450,8.39759,29677.6,99.903
455,8.39755,29741.9,99.9011
460,8.39751,29803.2,99.8992
465,8.39748,29861.5,99.8974
470,8.39744,29917.1,99.8955
475,8.3974,29970.1,99.8936
480,8.39736,30020.5,99.8917
485,8.39733,30068.5,99.8898
490,8.39729,30114.3,99.8879
495,8.39725,30157.8,99.886
500,8.39721,30199.3,99.8841
505,8.39718,30238.8,99.8822
510,8.39714,30276.4,99.8803
515,8.3971,30312.2,99.8784
520,8.39706,30346.3,99.8764
525,8.39703,30378.7,99.8745
530,8.39699,30409.6,99.8726
535,8.39695,30439,99.8707
540,8.39691,30467,99.8688
545,8.39687,30493.6,99.8668
550,8.39684,30519,99.8649
555,8.3968,30543.1,99.863
560,8.39676,30566.1,99.8611
565,8.39672,30587.9,99.8591
570,8.39669,30608.7,99.8572
575,8.39665,30628.5,99.8553
580,8.39661,30647.3,99.8533
