time,thrust,att.x,att.y,att.z,attq.w,attq.x,attq.y,attq.z
5,0,0,0,0,1,0,0,0
10,0,0,0,1.5708,0.707107,0,0,0.707107
15,0,0,0,1.5708,0.707107,0,0,0.707107
20,0,0,0,1.5708,0.707107,0,0,0.707107
25,0,0,0,1.5708,0.707107,0,0,0.707107
30,0,0,0,1.5708,0.707107,0,0,0.707107
35,0,0,0,1.5708,0.707107,0,0,0.707107
40,0,0,0,1.5708,0.707107,0,0,0.707107
45,0,0,0,1.5708,0.707107,0,0,0.707107
50,0,0,0,1.5708,0.707107,0,0,0.707107
55,0,0,0,1.5708,0.707107,0,0,0.707107
60,0,0,0,1.5708,0.707107,0,0,0.707107
65,0,0,0,1.5708,0.707107,0,0,0.707107
70,0,0,0,1.5708,0.707107,0,0,0.707107
75,0,0,0,1.5708,0.707107,0,0,0.707107
80,0,0,0,1.5708,0.707107,0,0,0.707107
85,0,0,0,1.5708,0.707107,0,0,0.707107
90,0,0,0,1.5708,0.707107,0,0,0.707107
95,0,0,0,1.5708,0.707107,0,0,0.707107
100,0,0,0,1.5708,0.707107,0,0,0.707107
105,0,0,0,1.5708,0.707107,0,0,0.707107
110,0,0,0,1.5708,0.707107,0,0,0.707107
115,0,0,0,1.5708,0.707107,0,0,0.707107
120,0,0,0,1.5708,0.707107,0,0,0.707107
125,0,0,0,1.5708,0.707107,0,0,0.707107
130,0,0,0,1.5708,0.707107,0,0,0.707107
135,0,0,0,1.5708,0.707107,0,0,0.707107
140,0,0,0,1.5708,0.707107,0,0,0.707107
145,0,0,0,1.5708,0.707107,0,0,0.707107
150,0,0,0,1.5708,0.707107,0,0,0.707107
155,0,0,0,1.5708,0.707107,0,0,0.707107
160,0,0,0,1.5708,0.707107,0,0,0.707107
165,0,0,0,1.5708,0.707107,0,0,0.707107
170,0,0,0,1.5708,0.707107,0,0,0.707107
175,0,0,0,1.5708,0.707107,0,0,0.707107
180,0,0,0,1.5708,0.707107,0,0,0.707107
185,0,0,0,1.5708,0.707107,0,0,0.707107
190,0,0,0,1.5708,0.707107,0,0,0.707107
195,0,0,0,1.5708,0.707107,0,0,0.707107
200,0,0,0,1.5708,0.707107,0,0,0.707107
205,0,0,0,1.5708,0.707107,0,0,0.707107
210,0,0,0,1.5708,0.707107,0,0,0.707107
215,0,0,0,1.5708,0.707107,0,0,0.707107
220,0,0,0,1.5708,0.707107,0,0,0.707107
225,0,0,0,1.5708,0.707107,0,0,0.707107
230,0,0,0,1.5708,0.707107,0,0,0.707107
235,0,0,0,1.5708,0.707107,0,0,0.707107
240,0,0,0,1.5708,0.707107,0,0,0.707107
245,0,0,0,1.5708,0.707107,0,0,0.707107
250,0,0,0,1.5708,0.707107,0,0,0.707107
255,0,0,0,1.5708,0.707107,0,0,0.707107
260,0,0,0,1.5708,0.707107,0,0,0.707107
265,0,0,0,1.5708,0.707107,0,0,0.707107
270,0,0,0,1.5708,0.707107,0,0,0.707107
275,0,0,0,1.5708,0.707107,0,0,0.707107
280,0,0,0,1.5708,0.707107,0,0,0.707107
285,0,0,0,1.5708,0.707107,0,0,0.707107
290,0,0,0,1.5708,0.707107,0,0,0.707107
295,0,0,0,1.5708,0.707107,0,0,0.707107
300,0,0,0,1.5708,0.707107,0,0,0.707107
305,0,0,0,1.5708,0.707107,0,0,0.707107
310,0,0,0,1.5708,0.707107,0,0,0.707107
315,0,0,0,1.5708,0.707107,0,0,0.707107
320,0,0,0,1.5708,0.707107,0,0,0.707107
325,0,0,0,1.5708,0.707107,0,0,0.707107
330,0,0,0,1.5708,0.707107,0,0,0.707107
335,0,0,0,1.5708,0.707107,0,0,0.707107
340,0,0,0,1.5708,0.707107,0,0,0.707107
345,0,0,0,1.5708,0.707107,0,0,0.707107
350,0,0,0,1.5708,0.707107,0,0,0.707107
355,0,0,0,1.5708,0.707107,0,0,0.707107
360,0,0,0,1.5708,0.707107,0,0,0.707107
365,0,0,0,1.5708,0.707107,0,0,0.707107
370,0,0,0,1.5708,0.707107,0,0,0.707107
375,0,0,0,1.5708,0.707107,0,0,0.707107
380,0,0,0,1.5708,0.707107,0,0,0.707107
385,0,0,0,1.5708,0.707107,0,0,0.707107
390,0,0,0,1.5708,0.707107,0,0,0.707107
395,0,0,0,1.5708,0.707107,0,0,0.707107
400,0,0,0,1.5708,0.707107,0,0,0.707107
405,0,0,0,1.5708,0.707107,0,0,0.707107
410,0,0,0,1.5708,0.707107,0,0,0.707107
415,0,0,0,1.5708,0.707107,0,0,0.707107
420,0,0,0,1.5708,0.707107,0,0,0.707107
425,0,0,0,1.5708,0.707107,0,0,0.707107
430,0,0,0,1.5708,0.707107,0,0,0.707107
435,0,0,0,1.5708,0.707107,0,0,0.707107
440,0,0,0,1.5708,0.707107,0,0,0.707107
445,0,0,0,1.5708,0.707107,0,0,0.707107
450,0,0,0,1.5708,0.707107,0,0,0.707107
455,0,0,0,1.5708,0.707107,0,0,0.707107
460,0,0,0,1.5708,0.707107,0,0,0.707107
465,0,0,0,1.5708,0.707107,0,0,0.707107
470,0,0,0,1.5708,0.707107,0,0,0.707107
475,0,0,0,1.5708,0.707107,0,0,0.707107
480,0,0,0,1.5708,0.707107,0,0,0.707107
485,0,0,0,1.5708,0.707107,0,0,0.707107
490,0,0,0,1.5708,0.707107,0,0,0.707107
495,0,0,0,1.5708,0.707107,0,0,0.707107
500,0,0,0,1.5708,0.707107,0,0,0.707107
505,0,0,0,1.5708,0.707107,0,0,0.707107
510,0,0,0,1.5708,0.707107,0,0,0.707107
515,0,0,0,1.5708,0.707107,0,0,0.707107
520,0,0,0,1.5708,0.707107,0,0,0.707107
525,0,0,0,1.5708,0.707107,0,0,0.707107
530,0,0,0,1.5708,0.707107,0,0,0.707107
535,0,0,0,1.5708,0.707107,0,0,0.707107
540,0,0,0,1.5708,0.707107,0,0,0.707107
545,0,0,0,1.5708,0.707107,0,0,0.707107
550,0,0,0,1.5708,0.707107,0,0,0.707107
555,0,0,0,1.5708,0.707107,0,0,0.707107
560,0,0,0,1.5708,0.707107,0,0,0.707107
565,0,0,0,1.5708,0.707107,0,0,0.707107
570,0,0,0,1.5708,0.707107,0,0,0.707107
575,0,0,0,1.5708,0.707107,0,0,0.707107
580,0,0,0,1.5708,0.707107,0,0,0.707107
585,0,0,0,1.5708,0.707107,0,0,0.707107
590,0,0,0,1.5708,0.707107,0,0,0.707107
595,0,0,0,1.5708,0.707107,0,0,0.707107
600,0,0,0,1.5708,0.707107,0,0,0.707107
605,0,0,0,1.5708,0.707107,0,0,0.707107
610,0,0,0,1.5708,0.707107,0,0,0.707107
615,0,0,0,1.5708,0.707107,0,0,0.707107
620,0,0,0,1.5708,0.707107,0,0,0.707107
625,0,0,0,1.5708,0.707107,0,0,0.707107
630,0,0,0,1.5708,0.707107,0,0,0.707107
635,0,0,0,1.5708,0.707107,0,0,0.707107
640,0,0,0,1.5708,0.707107,0,0,0.707107
645,0,0,0,1.5708,0.707107,0,0,0.707107
650,0,0,0,1.5708,0.707107,0,0,0.707107
655,0,0,0,1.5708,0.707107,0,0,0.707107
660,0,0,0,1.5708,0.707107,0,0,0.707107
665,0,0,0,1.5708,0.707107,0,0,0.707107
670,0,0,0,1.5708,0.707107,0,0,0.707107
675,0,0,0,1.5708,0.707107,0,0,0.707107
680,0,0,0,1.5708,0.707107,0,0,0.707107
685,0,0,0,1.5708,0.707107,0,0,0.707107
690,0,0,0,1.5708,0.707107,0,0,0.707107
695,0,0,0,1.5708,0.707107,0,0,0.707107
700,0,0,0,1.5708,0.707107,0,0,0.707107
705,0,0,0,1.5708,0.707107,0,0,0.707107
710,0,0,0,1.5708,0.707107,0,0,0.707107
715,0,0,0,1.5708,0.707107,0,0,0.707107
720,0,0,0,1.5708,0.707107,0,0,0.707107
725,0,0,0,1.5708,0.707107,0,0,0.707107
730,0,0,0,1.5708,0.707107,0,0,0.707107
735,0,0,0,1.5708,0.707107,0,0,0.707107
740,0,0,0,1.5708,0.707107,0,0,0.707107
745,0,0,0,1.5708,0.707107,0,0,0.707107
750,0,0,0,1.5708,0.707107,0,0,0.707107
755,0,0,0,1.5708,0.707107,0,0,0.707107
760,0,0,0,1.5708,0.707107,0,0,0.707107
765,0,0,0,1.5708,0.707107,0,0,0.707107
770,0,0,0,1.5708,0.707107,0,0,0.707107
775,0,0,0,1.5708,0.707107,0,0,0.707107
780,0,0,0,1.5708,0.707107,0,0,0.707107
785,0,0,0,1.5708,0.707107,0,0,0.707107
790,0,0,0,1.5708,0.707107,0,0,0.707107
795,0,0,0,1.5708,0.707107,0,0,0.707107
800,0,0,0,1.5708,0.707107,0,0,0.707107
805,0,0,0,1.5708,0.707107,0,0,0.707107
810,0,0,0,1.5708,0.707107,0,0,0.707107
815,0,0,0,1.5708,0.707107,0,0,0.707107
820,0,0,0,1.5708,0.707107,0,0,0.707107
825,0,0,0,1.5708,0.707107,0,0,0.707107
830,0,0,0,1.5708,0.707107,0,0,0.707107
835,0,0,0,1.5708,0.707107,0,0,0.707107
840,0,0,0,1.5708,0.707107,0,0,0.707107
845,0,0,0,1.5708,0.707107,0,0,0.707107
850,0,0,0,1.5708,0.707107,0,0,0.707107
