time,acc.x,acc.y,acc.z,gyro.x,gyro.y,gyro.z,mag.x,mag.y,mag.z
5,-0.025822, -0.0255429, -9.7923,-0.00132863, 0.000507114, 0.00094184,1.02096, 0.783408, -0.127842
10,0.00119101, -0.000327508, -9.82615,0.00252751, -0.00188592, 0.00203986,-0.336813, -0.335232, 0.672569
15,0.0273321, -0.00316568, -9.8083,0.000643045, -0.000786835, -0.00401985,-0.988121, 0.797139, 1.1047
20,-0.000352101, -0.0285112, -9.79677,-0.000609422, -0.000545267, -0.00263866,-1.32557, -0.134846, -1.10094
25,-0.00159483, 0.0271092, -9.77847,0.000441566, 0.000156985, -0.00466532,0.990603, -0.226159, 0.930069
30,-0.00628684, -0.00973341, -9.77192,-0.00117848, 0.0014243, -0.000337342,0.990905, -0.925458, -0.988967
35,0.0285822, -0.00779544, -9.81652,-0.0023359, 0.00334748, 0.00227229,0.0701917, -1.02792, 1.65698
40,-0.0247419, -0.0236892, -9.81635,0.00128257, -0.00124747, 0.000830292,0.718244, 0.310326, -2.12505
45,-0.00941604, 0.0196548, -9.80042,0.000266328, 0.000584576, 0.00222266,-0.828201, -1.4206, -0.648699
50,0.0197519, -0.0113109, -9.76997,-0.00348855, 0.000740362, -0.00396845,-0.310809, 0.24477, 0.373718
55,-0.0341835, -0.0292475, -9.79819,-0.00392246, 0.00207019, 0.000127493,0.648174, -1.18206, -1.30538
60,0.00117061, 0.00162771, -9.79735,-0.00539505, -0.00453695, 0.00261695,-0.630046, -0.182112, 0.574717
65,-0.0149001, -0.0347313, -9.79297,0.00120774, 0.00138986, 0.00287226,1.2676, 0.0366179, 1.1216
70,-0.0371901, -0.0099642, -9.85773,0.0157724, 0.000490382, 0.00325032,-1.4519, -0.708972, -0.274806
75,-0.0259765, -0.0123626, -9.80838,0.0177391, 0.00192475, 0.00292985,-1.24412, 0.0710525, 1.05139
80,-0.0120718, 0.0223549, -9.77304,0.016226, 0.00242445, -0.00449648,2.4877, 0.523237, -1.42032
85,0.0043892, -0.0181447, -9.82751,-0.00723732, -8.43621e-05, -0.000519119,-1.20529, -1.89677, -0.508348
90,0.00485914, 0.00326777, -9.82992,-0.0129763, 0.00243632, -0.00245894,0.174853, -0.0429193, -0.812306
95,-0.0880483, -0.0183346, -9.84157,-0.0152304, 0.000784331, 0.00288648,2.18669, -0.301838, -0.551673
100,0.00285413, 0.0258031, -9.8135,-0.0116673, -0.0029461, 0.00194253,1.15908, -0.657171, -0.195294
105,-0.0316142, 0.0570359, -9.80358,-0.00133673, 0.00126433, 0.00345219,-1.98331, 0.391742, -1.70342
110,0.0710689, 0.0462136, -9.71614,0.0260942, -0.00567048, -0.000368132,-0.439559, -1.37773, -0.303993
