time,thrust,rate_sp.x,rate_sp.y,rate_sp.z,tau_sp.x,tau_sp.y,tau_sp.z,m.1,m.2,m.3,m.4
5,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,1.06066,0,0,0.00753069,-0.215146,0.215146,0.215146,-0.215146
15,0,0,0,1.06066,0,0,0.00753069,-0.215146,0.215146,0.215146,-0.215146
20,0,0,0,1.06066,0,0,0.00753069,-0.215146,0.215146,0.215146,-0.215146
25,0,0,0,1.06066,0,0,0.00753069,-0.215146,0.215146,0.215146,-0.215146
30,0,0,0,1.06066,0,0,0.00753069,-0.215146,0.215146,0.215146,-0.215146
35,0,0,0,1.06066,0,0,0.00753069,-0.215146,0.215146,0.215146,-0.215146
40,0,0,0,1.06066,0,0,0.00753069,-0.215146,0.215146,0.215146,-0.215146
45,0,0,0,1.06066,0,0,0.00753069,-0.215146,0.215146,0.215146,-0.215146
50,0,0,0,1.06066,0,0,0.00753069,-0.215146,0.215146,0.215146,-0.215146
55,0,0,0,1.06066,0,0,0.00753069,-0.215146,0.215146,0.215146,-0.215146
60,0,0,0,1.06066,0,0,0.00753069,-0.215146,0.215146,0.215146,-0.215146
65,0,0,0,1.06066,0,0,0.00753069,-0.215146,0.215146,0.215146,-0.215146
70,0,0,0,1.06066,0,0,0.00753069,-0.215146,0.215146,0.215146,-0.215146
75,0,0,0,1.06066,0,0,0.00753069,-0.215146,0.215146,0.215146,-0.215146
80,0,0,0,1.06066,0,0,0.00753069,-0.215146,0.215146,0.215146,-0.215146
85,0,0,0,1.06066,0,0,0.00753069,-0.215146,0.215146,0.215146,-0.215146
90,0,0,0,1.06066,0,0,0.00753069,-0.215146,0.215146,0.215146,-0.215146
95,0,0,0,1.06066,0,0,0.00753069,-0.215146,0.215146,0.215146,-0.215146
100,0,0,0,1.06066,0,0,0.00753069,-0.215146,0.215146,0.215146,-0.215146
105,0,0,0,1.06066,0,0,0.00753069,-0.215146,0.215146,0.215146,-0.215146
110,0,0,0,1.06066,0,0,0.00753069,-0.215146,0.215146,0.215146,-0.215146
115,0,0,0,1.06066,0,0,0.00753069,-0.215146,0.215146,0.215146,-0.215146
120,0,0,0,1.06066,0,0,0.00753069,-0.215146,0.215146,0.215146,-0.215146
125,0,0,0,1.06066,0,0,0.00753069,-0.215146,0.215146,0.215146,-0.215146
130,0,0,0,1.06066,0,0,0.00753069,-0.215146,0.215146,0.215146,-0.215146
