time,p.x,p.y,p.z,att.x,att.y,att.z,attq.w,attq.x,attq.y,attq.z,v.x,v.y,v.z,v.r,v.p,v.yaw,pdot.x,pdot.y,pdot.z,vdot.x,vdot.y,vdot.z,vdot.r,vdot.p,vdot.yaw
20,-1, 1, 4,-0, 0, -0,1,0,0,0,0, 0, 0, 0, 0, 0,0, 0, 0,0, 0, 0, 0, 0, 0
40,-1, 1, 4,0.000217364, 0, 0,1,0.000108682,0,0,0, 0, 0, 0.0375611, 0, 0,0, 0, 0,0, 0, 0, 5.00145, 0, 0
60,-1, 1, 4,0.00264614, 0, 0,0.999999,0.00132307,0,0,0, 0, 0, 0.225533, 0, 0,0, 0, 0,0, 0, 0, 13.9371, 0, 0
80,-1, 1, 4,0.0103193, -5.47951e-05, 3.39878e-05,0.999987,0.00515964,-2.74849e-05,1.68523e-05,-0.000208747, 8.41715e-09, 3.47639e-09, 0.543729, -0.0147142, 0.00910022,-0.000208747, 3.27501e-09, -4.86194e-09,-0.0544473, 4.81424e-05, -0.0897261, 19.0105, -2.88961, 1.78718
100,-1, 1, 4,0.0251392, -0.000431292, 0.000272206,0.999921,0.0125692,-0.00021734,0.000133382,1.1711e-05, 4.30221e-08, 3.20236e-08, 0.922889, -0.0190667, 0.0117984,1.1711e-05, 4.51613e-08, 3.79588e-08,0.0358574, 8.13199e-05, -0.0897273, 19.893, 0.0043154, -0.00225782
120,-1.00002, 1, 4,0.0481328, -0.000165646, 0.000122881,0.99971,0.0240641,-8.42778e-05,5.94297e-05,-0.0024088, 2.64235e-08, -2.75356e-07, 1.37224, 0.0767286, -0.0474505,-0.0024088, -3.42593e-07, -8.76645e-07,-0.279491, 3.82488e-05, -0.0898612, 25.2586, 10.0728, -6.23148
140,-1.00009, 1, 4,0.0810585, 0.00252832, -0.00159597,0.999178,0.0405171,0.00129545,-0.000746109,-0.00420611, -4.64218e-06, -9.33147e-06, 1.90718, 0.15612, -0.0966525,-0.00420612, 1.58722e-06, 7.86621e-07,0.0358113, -0.000233021, -0.090348, 29.1556, -0.0735648, 0.0384577
160,-1.00017, 1, 4,0.125889, 0.00495485, -0.00365241,0.998015,0.062898,0.00258739,-0.00166675,-0.00424468, -1.02986e-05, -1.83748e-05, 2.5689, 0.0536172, -0.0805153,-0.00424473, 4.46901e-06, 3.04166e-06,-0.100738, -0.000144115, -0.0899742, 37.0905, -12.9745, 3.09999
180,-1.00029, 1, 4,0.185789, 0.00201397, -0.00417924,0.995686,0.0927585,0.00119648,-0.0019872,-0.00758418, -1.00345e-05, -3.18052e-06, 3.41257, -0.347042, 0.0739325,-0.00758415, 1.91074e-05, 1.86089e-05,-0.231527, 0.000712162, -0.0874813, 46.8298, -26.3595, 11.8845
200,-1.00044, 1, 4,0.262728, -0.00869285, -0.00102355,0.991374,0.130987,-0.00424193,-0.00107668,-0.00521542, 8.92421e-06, 6.76772e-05, 4.20605, -0.613534, 0.173213,-0.00521578, 8.3043e-06, 2.86379e-05,0.380686, 0.000805923, 0.0929468, 34.908, -3.31964, -0.199694
220,-1.00047, 1, 4,0.353606, -0.0206634, 0.00342459,0.98436,0.175856,-0.0104716,-0.000131623,0.000210331, 1.83926e-05, 8.87831e-05, 4.82917, -0.55932, 0.123028,0.000208442, -1.38625e-05, 9.39122e-05,0.00261716, -2.88539e-05, 0.0895922, 28.9413, 8.48733, -4.98383
240,-1.00049, 1, 4,0.456316, -0.0285478, 0.00697898,0.973991,0.226111,-0.0146926,0.00017031,-0.00292377, 2.19805e-05, -8.76484e-05, 5.40759, -0.258269, -0.0379736,-0.0029202, 7.5991e-05, -0.000152559,-0.3283, -5.77346e-05, -0.0892288, 29.4559, 20.9175, -10.7992
260,-1.00062, 1, 4,0.571763, -0.0273205, 0.00663528,0.959331,0.281932,-0.0140408,-0.000669401,-0.0105088, -6.4011e-06, 8.42662e-05, 6.14084, 0.317148, -0.342374,-0.0105068, 4.49094e-05, -0.000216195,-0.427394, -0.00307794, 0.0871455, 42.9193, 35.6877, -19.1162
280,-1.00085, 1, 3.99999,0.702299, -0.015154, -0.000120633,0.938951,0.343968,-0.00709384,-0.00266293,-0.00994893, -0.000107228, -3.1284e-05, 6.83526, 0.747021, -0.558248,-0.00994714, 3.65497e-05, -0.000216292,0.380758, -0.00493066, -0.0961951, 29.3558, 10.3738, -4.4157
300,-1.00094, 1, 3.99999,0.84426, -0.00030127, -0.0103323,0.912206,0.4097,0.00197918,-0.00477435,0.000985055, -0.000163356, -8.31157e-05, 7.29685, 0.773861, -0.553276,0.000983492, -5.48623e-05, -0.000183466,0.487555, 0.000296361, -0.088235, 19.1414, -1.55545, 1.31914
320,-1.00085, 1, 3.99999,0.994224, 0.0115647, -0.0215499,0.878927,0.476799,0.0102204,-0.00671309,0.00600651, -0.000124558, -6.01038e-06, 7.65737, 0.620816, -0.459493,0.00600213, -7.76425e-05, -0.000249186,0.0329433, 0.00322682, -0.0852026, 17.9327, -13.1839, 7.88353
340,-1.00079, 1, 3.99998,1.14984, 0.0169196, -0.0312742,0.839176,0.54357,0.0156011,-0.00852267,-0.00101068, -0.000100099, 4.48911e-05, 7.82266, 0.335204, -0.285943,-0.00101239, -8.49624e-05, -3.68852e-05,-0.416281, -0.000520293, 0.0903425, 1.48433, -15.4124, 9.31271
360,-1.0009, 0.999999, 3.99999,1.30568, 0.0149107, -0.0375713,0.794284,0.607211,0.0173314,-0.0103934,-0.00977953, -0.000116061, 4.79421e-05, 7.72488, 0.0191146, -0.0942997,-0.00977519, -0.000121914, 0.000292996,-0.457286, -0.0012393, 0.0903413, -10.0002, -16.1176, 9.8017
380,-1.00118, 0.999997, 3.99999,1.45662, 0.00655538, -0.0394027,0.746196,0.665427,0.0155581,-0.0125209,-0.0162405, -0.000115198, -8.26422e-05, 7.35983, -0.244993, 0.066246,-0.0162326, 3.14223e-05, 0.000524969,-0.120498, 0.000896109, -0.0854327, -24.3792, -13.7904, 8.41151
400,-1.00149, 0.999997, 4,1.59784, -0.00552273, -0.0371342,0.697321,0.716513,0.0113788,-0.0149279,-0.014682, -8.16857e-05, 2.88413e-05, 6.80681, -0.376107, 0.145355,-0.0146748, 3.35212e-05, 0.000466876,0.154956, 0.00154135, 0.0955062, -30.2799, -3.40624, 2.01788
420,-1.00177, 1, 4.00001,1.72729, -0.0179727, -0.0324879,0.649449,0.760178,0.00651052,-0.0173829,-0.0129151, -4.16337e-05, -4.15664e-05, 6.20371, -0.40132, 0.159295,-0.0129068, 0.000205677, 0.000416864,0.0361024, 0.00220966, -0.084602, -29.9407, 0.40294, -0.328345
440,-1.00202, 1, 4.00002,1.84488, -0.0293798, -0.0265633,0.603602,0.79704,0.00171528,-0.0197269,-0.0125246, -3.80696e-06, 5.51922e-05, 5.6139, -0.383198, 0.159686,-0.0125165, 0.00020668, 0.000402123,-0.0516343, 0.00163264, 0.0943202, -29.0221, 3.16897, 1.45029
460,-1.0023, 1.00001, 4.00003,1.95104, -0.038127, -0.0190153,0.560459,0.827908,-0.00281776,-0.021113,-0.0160392, 4.74511e-05, -4.28875e-05, 5.04583, -0.218768, 0.251708,-0.0160222, 0.000472125, 0.000572353,-0.244297, 0.00383221, -0.0865275, -27.8137, 14.1306, 8.27464
