time,c1,c2,c3,c4,c5,c6
20,0, 0, 0, 0, 0, 0
40,0, 0, 0, 0, 0, 0
60,0, 0, 0, 0, 0, 0
80,-4.06372e-07, -1.84437e-05, -6.64399e-07, -1.79858e-08, -5.23562e-07, 4.43422e-07
100,-6.55632e-07, -3.11543e-05, -1.78922e-07, -4.68088e-08, -1.45476e-06, 1.23074e-06
120,2.28751e-06, -1.46534e-05, 5.10565e-05, -5.71456e-07, 7.5845e-06, -6.41661e-06
140,4.68461e-06, 8.92721e-05, 0.000235198, -3.1412e-06, 2.47993e-05, -2.09633e-05
160,1.50134e-06, 5.52116e-05, 8.94305e-05, -1.15812e-06, 2.8909e-05, -1.20482e-05
180,-1.01014e-05, -0.000272835, -0.000862151, -4.13855e-06, -2.84971e-05, 7.71385e-05
200,5.36814e-06, -0.000308756, -0.00121558, -2.20095e-05, -9.87562e-05, 0.000181903
220,-7.27431e-07, 1.10542e-05, 7.63091e-05, -1.51181e-05, -8.38927e-05, 0.000194791
240,6.03925e-08, 2.21186e-05, -0.000215291, 1.57798e-06, 1.99529e-05, 0.000107306
260,-7.22016e-07, 0.00117918, 0.00101309, -1.8924e-05, 0.000269118, -0.000122659
280,-3.3863e-06, 0.00188897, 0.00247089, -8.48563e-05, 0.000514623, -0.000358279
300,-3.32504e-05, -0.000113538, -0.000595076, -8.94453e-05, 0.00055104, -0.000403308
320,-3.64553e-06, -0.00123622, -0.00173653, -6.16314e-05, 0.00048745, -0.000346161
340,-1.73691e-05, 0.000199328, -0.000223395, -2.15317e-05, 0.000315269, -0.000195978
360,-5.15161e-06, 0.000474785, -0.000222085, -7.62856e-07, 0.000109922, -1.9451e-05
380,2.3251e-06, -0.000343307, -0.00166929, -2.78116e-06, -5.83036e-05, 0.000122055
400,1.4089e-05, -0.000590505, -0.00220744, -1.11113e-05, -0.000133819, 0.00018214
420,-3.94217e-06, -0.000846537, -0.00197652, -1.33374e-05, -0.000135835, 0.000178981
440,6.12149e-06, -0.000625479, -0.00174555, -1.2716e-05, -0.000121916, 0.000155817
460,-7.96174e-06, -0.00146815, -0.00123868, -1.17921e-05, -0.000168605, 8.44324e-05
480,-2.75537e-05, -0.00386301, 0.00165544, 1.79222e-05, -0.000301267, -5.72321e-05
500,-8.88364e-05, -0.00555254, 0.00410762, 4.8279e-05, -0.000331978, -0.000110362
520,-0.000160659, -0.00532703, 0.0044883, 5.07279e-05, -0.000298447, -0.000104022
540,-0.000234063, -0.00508963, 0.00477476, 5.29395e-05, -0.000271459, -9.86053e-05
560,-0.000278455, -0.00505315, 0.00494966, 5.4928e-05, -0.000242422, -9.13652e-05
580,-0.000345471, -0.0048342, 0.00494857, 5.35535e-05, -0.000206607, -7.87486e-05
600,-0.000333512, -0.00474404, 0.0039818, 2.61657e-05, -0.000140805, -4.03578e-05
620,-0.00017959, -0.00323626, -0.000554721, -6.72734e-06, -5.54725e-05, 1.467e-05
640,7.86901e-05, 0.00270326, -0.013936, 2.11649e-05, 1.95272e-05, 5.19512e-05
660,0.000361586, 0.0198987, -0.0370293, 0.000209442, -3.44293e-07, -3.21975e-06
680,-0.000361416, 0.0351754, -0.0457326, 0.000381601, -0.00014968, -0.000103341
700,-0.00140753, 0.035491, -0.0363814, 0.000353492, -0.000253479, -0.000139894
720,-0.00211934, 0.0340407, -0.0294743, 0.000293355, -0.000314984, -0.00015332
740,-0.00221791, 0.0308594, -0.0202583, 0.000172078, -0.000320894, -0.000128471
760,-0.0017694, 0.0240038, -0.0033213, 4.13301e-05, -0.000252374, -4.25127e-05
780,-0.000633686, 0.00888171, 0.0298022, -2.00416e-05, -9.06688e-05, 0.00012848
800,0.000404106, -0.0188587, 0.0806045, 8.9876e-05, 0.000165172, 0.000382058
820,-0.00178271, -0.0562059, 0.125878, 0.000322807, 0.000465099, 0.000633594
840,-0.00693847, -0.0970517, 0.129836, 0.000533363, 0.000826233, 0.000744078
860,-0.0117805, -0.114289, 0.0966964, 0.000523483, 0.000984893, 0.000654572
880,-0.0157272, -0.114658, 0.0731947, 0.00046026, 0.000920061, 0.000557734
900,-0.0187108, -0.111975, 0.0537846, 0.00040811, 0.000839158, 0.00046916
920,-0.0199427, -0.105766, 0.034313, 0.000333774, 0.000729903, 0.000360393
940,-0.0157624, -0.0858988, 0.00132722, 0.000163422, 0.000504509, 0.000160865
960,-0.00469945, -0.0471651, -0.0469716, -3.7035e-06, 0.000170377, -0.000115714
980,0.00845637, 0.000175176, -0.0924406, 6.99204e-05, -0.000150867, -0.000355503
1000,0.0150865, 0.0343416, -0.10052, 0.000442831, -0.000275596, -0.000363282
1020,0.0178622, 0.0561468, -0.0844419, 0.000912443, -0.000164459, -0.000177419
1040,0.019036, 0.0766807, -0.068572, 0.00106397, 0.000114308, -7.10359e-08
1060,0.016943, 0.099671, -0.0523707, 0.000846892, 0.000394764, 6.9062e-05
1080,0.0128157, 0.116056, -0.0354376, 0.000597127, 0.000670379, 8.86526e-05
1100,0.00739263, 0.107126, -0.0117688, 0.00025199, 0.000895927, 5.77144e-05
1120,0.00297878, 0.0757787, 0.00773285, -4.92746e-05, 0.000931601, -3.10256e-05
1140,0.000396776, 0.0452095, 0.025947, -0.000305137, 0.000760039, -0.000220844
1160,-0.000723297, 0.0229676, 0.0418196, -0.000359895, 0.000466416, -0.000471877
1180,-0.0012084, 0.00999105, 0.0582529, -0.000166842, 0.000161158, -0.00060165
1200,-0.00210896, -0.00885695, 0.075704, 0.000180045, -0.000158758, -0.000517513
1220,-0.00338628, -0.0527546, 0.0813961, 0.000603803, -0.000445547, -0.000323179
1240,-0.00724662, -0.112384, 0.0655193, 0.000803829, -0.000431624, -0.000128052
1260,-0.0153982, -0.136262, 0.0287449, 0.00052804, -3.53585e-05, -2.65799e-05
1280,-0.0234663, -0.121378, -0.00592593, -3.66152e-06, 0.000444137, -3.48703e-05
1300,-0.0289684, -0.116403, -0.0365979, -0.000483442, 0.000775268, -0.000128422
1320,-0.0324287, -0.114417, -0.0780931, -0.000822271, 0.000921832, -0.000294766
1340,-0.0339108, -0.104677, -0.141145, -0.00103422, 0.000968996, -0.000569083
1360,-0.0394763, -0.0830752, -0.19466, -0.00103774, 0.000938006, -0.000812295
1380,-0.0495432, -0.0640334, -0.205735, -0.000986143, 0.00091322, -0.000854576
