time,d1,d2,d3,d4,d5,d6
20,0, 0, 0, 0, 0, 0
40,0, 0, 0, 0, 0, 0
60,0, 0, 0, 0, 0, 0
80,-0.0128989, 0, 0.0343754, 0, 0, 0
100,-0.0128998, 0, 0.0343754, 0.000417932, 0, 0
120,-0.0128895, 0, 0.0343755, 0.000953456, 0, 0
140,-0.0128886, 0, 0.0343778, 0.00163453, 0, 0
160,-0.0128884, 0, 0.0343804, 0.00253367, 0, 0
180,-0.0129044, 0, 0.0343769, 0.00377771, 0, 0
200,-0.012893, 0, -0.0343931, 0.00508258, -8.16766e-05, 0
220,0.0128986, 0, -0.0343998, 0.00617244, -3.40855e-05, 0
240,-0.0128885, 0, 0.0343996, 0.00722825, 0, 0
260,-0.0129352, 0, -0.0343992, 0.00861641, 0, 0
280,-0.0129388, 0, 0.0343822, 0.010061, 0.000225236, -1.8464e-05
300,0.0128967, 0, 0.0343986, 0.0110672, 0.000269758, -1.93162e-05
320,0.0128949, 0, 0.0343783, 0.0118623, 0.000108492, 0
340,-0.0128961, 0, -0.0343876, 0.0122695, 0, 0
360,-0.0129251, 0, -0.0343884, 0.0120755, 0, 0
380,-0.0130595, 0, 0.0343992, 0.0112992, 0, 0
400,-0.0130267, 0, -0.0343818, 0.0101264, 0, 0
420,-0.0129847, 0, 0.0343882, 0.00888728, 0, 0
440,-0.0129752, 0, -0.0343893, 0.00772949, 0, 0
460,-0.0130509, 0, 0.034388, 0.00666543, 0, 0
480,-0.0132354, 0, 0.0343857, 0.00568885, 0, 0
500,-0.0133852, 0, 0.0343828, 0.00482629, 0, 7.61271e-05
520,-0.0133514, 0, 0.0343951, 0.00415481, 0, 7.73852e-05
540,-0.0133186, 0, -0.0343878, 0.00363547, 0, 7.83599e-05
560,-0.013287, 0, 0.0343835, 0.0031014, 0, 7.90477e-05
580,-0.0132779, 0, -0.0343944, 0.00253401, 0, 6.75338e-05
600,-0.0135046, 0, -0.0343773, 0.00196105, 0, 0
620,-0.0141429, 0, -0.034393, 0.00139886, 0, 0
640,-0.0157544, 0, 0.0343729, 0.000571034, -0.000228471, 0
660,-0.0183512, 0, 0.0343652, 0, -0.00098062, -0.000224081
680,-0.0194447, 0, 0.0342318, -0.000453291, -0.00120767, -0.000753577
700,-0.0186458, 0, 0.0341314, -0.00112604, -0.000956817, -0.000845142
720,-0.0185799, 0, 0.0341474, -0.00168775, -0.000731928, -0.000783958
740,-0.0198561, 0, 0.0342685, -0.0022837, -0.000328702, -0.000533592
760,-0.0225791, 0, 0.0343753, -0.00285796, 0, -0.000150611
780,-0.0275431, 0, -0.0343728, -0.00352245, 0, 0
800,-0.0346473, 0, -0.0341064, -0.00443068, 0.000918979, 0
820,-0.0412047, 0, -0.0331774, -0.00550427, 0.00171124, 0.000300146
840,-0.043066, 0, -0.0320435, -0.00662463, 0.00185312, 0.00084131
860,-0.0406792, 0, -0.0312462, -0.00712982, 0.00147844, 0.00105775
880,-0.039423, 0, -0.0308086, -0.00691412, 0.00127032, 0.0010001
900,-0.0383862, 0, -0.0305682, -0.00654053, 0.00111385, 0.000932516
920,-0.0380649, 0, -0.0304712, -0.00607365, 0.000890717, 0.000819121
940,-0.0376672, 0.000837726, -0.0305387, -0.00546414, 0.000322816, 0.00048096
960,-0.0350763, 0.00158282, -0.0309186, -0.0045884, 0, 0
980,-0.029823, 0.00184786, -0.0318225, -0.00329691, -0.000765915, 0
1000,-0.0234022, 0.00161818, -0.0333263, -0.00169948, -0.0019442, -0.000543746
1020,-0.0203088, 0.00109588, 0.0340638, -0.000167874, -0.0024341, -0.00150816
1040,-0.0210952, 0.000396686, 0.0334908, 0, -0.00204238, -0.00227112
1060,-0.0244987, 0, 0.0331406, 0.000616386, -0.00121689, -0.00265427
1080,-0.0273473, 0, 0.0329976, 0.00144312, -0.00057607, -0.00287645
1100,-0.026765, 0, 0.0331013, 0.00241292, 0, -0.0026891
1120,-0.0227683, 0, 0.0334983, 0.00329004, 0, -0.00209619
1140,-0.0189842, 0, 0.0341695, 0.00385999, 0.000417608, -0.00130471
1160,-0.0171488, 0, -0.0343444, 0.00418087, 0.00157498, -0.000466124
1180,-0.0178332, 0, -0.0341364, 0.0040666, 0.00233004, 0
1200,-0.0212205, 0, -0.0336845, 0.00333554, 0.00231648, 0
1220,-0.0253746, 0, -0.0330941, 0.00211158, 0.00185915, 0.00104307
1240,-0.0277468, 0, -0.0325809, 0.000699894, 0.00110066, 0.00268677
1260,-0.0247097, 0, -0.0323961, 0, 0.00021775, 0.00395228
1280,-0.0207223, 0, -0.032634, -0.000425228, 0, 0.00430365
1300,-0.0210955, 7.50087e-05, -0.0332732, -0.00135348, -0.000152217, 0.00391836
1320,-0.0246422, 0.0012792, 0.0343305, -0.00220946, -0.0009554, 0.00311645
1340,-0.0301847, 0.00256393, 0.033358, -0.00325407, -0.00199429, 0.00223168
1360,-0.0346618, 0.00374135, 0.0318015, -0.00405102, -0.00274691, 0.00161284
1380,-0.035107, 0.00470253, 0.0303988, -0.00412906, -0.00285478, 0.00142915
1400,-0.0336369, 0.00545835, 0.0296014, -0.00380563, -0.00269567, 0.00139972
1420,-0.0320855, 0.00604418, 0.0293981, -0.0032924, -0.0025449, 0.00136965
1440,-0.0305114, 0.00650423, 0.0296643, -0.00270843, -0.00240204, 0.00133692
1460,-0.0289491, 0.00688988, 0.0302585, -0.00210013, -0.00226518, 0.0013015
1480,-0.0274262, 0.00725489, 0.0310414, -0.00147782, -0.00213297, 0.00126353
1500,-0.0259639, 0.00765502, 0.0318849, -0.000847197, -0.00200424, 0.00122319
1520,-0.0245776, 0.00814341, 0.0326781, -0.000226862, -0.00187816, 0.0011807
1540,-0.0232778, 0.00876618, 0.0333306, 0, -0.00175421, 0.00113637
1560,-0.0220707, 0.00956794, 0.0337702, 0, -0.00163195, 0.00109052
1580,-0.0209598, 0.0105917, 0.0339412, 0.000502859, -0.001511, 0.0010434
1600,-0.0199457, 0.0118647, 0.0338136, 0.00124044, -0.00139136, 0.000995402
1620,-0.0190273, 0.0133584, 0.0334101, 0.00172969, -0.00127423, 0.000947316
1640,-0.0182015, 0.0148977, 0.0328615, 0.00183008, -0.00116386, 0.000900985
1660,-0.0174626, 0.0163567, 0.0322702, 0.00177133, -0.00106228, 0.000857303
