time,tau1,tau2,tau3,tau4,tau5,tau6
20,0, 0, 0, 0, 0, 0
40,0, 0, 0, 0.00204347, 0, 0
60,0, 0, 0, 0.00569435, 0, 0
80,-0.0324879, 0, 0, 0.00776721, -0.000974637, 0.000974637
100,0, 0, 0, 0.00854566, 0, 0
120,-0.11344, 0, 0, 0.0112729, 0.0034032, -0.0034032
140,0, 0, 0, 0.0135437, 0, 0
160,-0.0491296, 0, 0, 0.0176868, -0.00434492, 0.00167776
180,-0.0962115, 0, 0, 0.0229071, -0.00891452, 0.00655539
200,0.124073, 0, 0, 0.0193231, -0.00129951, 7.30498e-05
220,0.0138394, 0, 0, 0.017982, 0.00274317, -0.0025219
240,-0.131001, 0, 0, 0.0192648, 0.00707142, -0.00577934
260,-0.1667, 0, 0, 0.0261333, 0.0122997, -0.0105429
280,0.124044, 0, 0, 0.0219702, 0.00423695, -0.00278374
300,0.188272, 0, 0, 0.0187984, 0.000296442, 0.000296442
320,0.0247433, 0, 0, 0.0191275, -0.00384845, 0.00395116
340,-0.16268, 0, 0, 0.0128544, -0.00488039, 0.00488039
360,-0.177449, 0, 0, 0.00798888, -0.00532346, 0.00532346
380,-0.0564089, 0, 0, 0.00133564, -0.00470717, 0.00470717
400,0.0427363, 0, 0, -0.00225635, -0.00128209, 0.00128209
420,0, 0, 0, -0.00335911, 0, 0
440,-0.0315457, 0, 0, -0.00414096, 0.00094637, 0.00094637
460,-0.10095, 0, 0, -0.00471037, 0.00459494, 0.00459494
480,-0.131744, 0, 0, -0.00530308, 0.00891153, 0.00891153
500,0, 0, 0, -0.00463066, 0, 0
520,0, 0, 0, -0.00307288, 0, 0
540,0, 0, 0, -0.00307303, 0, 0
560,0, 0, 0, -0.00450142, 0, 0
580,-0.0490316, 0, 0, -0.00565864, -0.00147095, -0.00147095
600,-0.161267, 0, 0, -0.006538, -0.004838, -0.004838
620,-0.220409, 0, 0, -0.00736127, -0.00937561, -0.00937561
640,-0.402014, 0, 0, -0.0177009, -0.0120604, -0.0126172
660,-0.336013, 0, 0, -0.0243041, -0.0100804, -0.0203301
680,0.0267091, 0, 0, -0.0140665, 0.000801274, -0.00600724
700,0.0548468, 0, 0, -0.0100771, 0.0016454, -0.0016454
720,-0.101146, 0, 0, -0.0103525, 0.00303437, 0.00303437
740,-0.227701, 0, 0, -0.0108009, 0.00683103, 0.00683103
760,-0.345538, 0, 0, -0.0104296, 0.0103661, 0.0103661
780,-0.495771, 0, 0, -0.0142766, 0.0153008, 0.0153008
800,-0.483085, 0, 0, -0.0174404, 0.0144925, 0.0144925
820,-0.280423, 0, 0, -0.0185564, 0.0084127, 0.0136787
840,0.00176256, 0, 0, -0.0184077, -5.28767e-05, 0.0138331
860,0.0586086, 0, 0, -0.00663115, -0.00175826, 0.00175826
880,0, 0, 0, -0.00259944, 0, 0
900,0, 0, 0, -0.00147322, 0, 0
920,-0.084357, 0, 0, 0.000344019, -0.00288778, -0.00288778
940,0.0222547, 0, 0, 0.00309005, -0.010914, -0.010914
960,0.186473, 0, 0, 0.0086966, -0.0176138, -0.0176138
980,0.416799, 0, 0, 0.0172894, -0.0218116, -0.0218116
1000,0.428044, 0, 0, 0.0241714, -0.0128413, -0.0217283
1020,0.125137, 0, 0, 0.0261006, -0.00375412, -0.0231711
1040,-0.263787, 0, 0, 0.0181421, 0.00791362, -0.0121542
1060,-0.295499, 0, 0, 0.0151912, 0.00886496, -0.00886496
1080,-0.115258, 0, 0, 0.0160245, 0.00931696, -0.00345773
1100,0.173872, 0, 0, 0.0179071, 0.0114959, 0.00521617
1120,0.374793, 0, 0, 0.0126421, 0.0112438, 0.0112438
1140,0.307558, 0, 0, 0.00944272, 0.0183376, 0.0183376
1160,0.0860685, 0, 0, 0.00595379, 0.0158198, 0.0168682
1180,-0.295996, 0, 0, -0.00127106, 0.00745381, 0.0153428
1200,-0.413389, 0, 0, -0.0103591, -0.00157602, 0.0240188
1220,-0.346926, 0, 0, -0.0177219, -0.00622893, 0.0337395
1240,-0.0634381, 0, 0, -0.022923, -0.0114616, 0.0360721
1260,0.414452, 0, 0, -0.021113, -0.0124336, 0.0172382
1280,0.123005, 0, 0, -0.0174767, -0.0115561, 0.00369016
1300,-0.290678, 0, 0, -0.0161632, -0.0102995, -0.00872034
1320,-0.419021, 0, 0, -0.0159407, -0.0125706, -0.0125706
1340,-0.465664, 0, 0, -0.0212737, -0.0139699, -0.0177801
1360,-0.204783, 0, 0, -0.00969029, -0.0061435, -0.0061435
1380,-0.0139729, 0, 0, -0.00286669, -0.000419187, -0.000419187
1400,0, 0, 0, 0.00114474, 0, 0
1420,0, 0, 0, 0.0034291, 0, 0
1440,0, 0, 0, 0.00496464, 0, 0
1460,0, 0, 0, 0.00624276, 0, 0
1480,0, 0, 0, 0.00765232, 0, 0
1500,0, 0, 0, 0.00895331, 0, 0
1520,0, 0, 0, 0.00999001, 0, 0
1540,0, 0, 0, 0.0107883, 0, 0
1560,0, 0, 0, 0.0114864, 0, 0
1580,0, 0, 0, 0.0122189, 0, 0
1600,0, 0, 0, 0.0129898, 0, 0
1620,0, 0, 0, 0.00491995, 0, 0
1640,0, 0, 0, 0.00122723, 0, 0
1660,0, 0, 0, 6.2278e-05, 0, 0
1680,0, 0, 0, -0.000323001, 0, 0
1700,0, 0, 0, -0.00138606, 0, 0
1720,0, 0, 0, -0.00293153, 0, 0
1740,0, 0, 0, -0.00477753, 0, 0
1760,0, 0, 0, -0.00674069, 0, 0
1780,0, 0, 0, -0.00858806, 0, 0
1800,0, 0, 0, -0.0101005, 0, 0
1820,0, 0, 0, -0.0111777, 0, 0
1840,0, 0, 0, -0.0118984, 0, 0
1860,0, 0, 0, -0.0124722, 0, 0
1880,0, 0, 0, -0.0130749, 0, 0
1900,0, 0, 0, -0.0137244, 0, 0
1920,0, 0, 0, -0.00526207, 0, 0
1940,0, 0, 0, -0.00133113, 0, 0
1960,0, 0, 0, -5.35813e-05, 0, 0
1980,0, 0, 0, 0.000267923, 0, 0
2000,0, 0, 0, 0.00127206, 0, 0
2020,0, 0, 0, 0.00265002, 0, 0
2040,0, 0, 0, 0.00415886, 0, 0
2060,0, 0, 0, 0.00565138, 0, 0
2080,0, 0, 0, 0.00703851, 0, 0
2100,0, 0, 0, 0.00828028, 0, 0
2120,0, 0, 0, 0.00938391, 0, 0
2140,0, 0, 0, 0.0103891, 0, 0
2160,0, 0, 0, 0.0113433, 0, 0
2180,0, 0, 0, 0.0122559, 0, 0
2200,0, 0, 0, 0.00451367, 0, 0
2220,0, 0, 0, 0.00100845, 0, 0
2240,0, 0, 0, 8.58117e-06, 0, 0
2260,0, 0, 0, -0.000422484, 0, 0
2280,0, 0, 0, -0.00157442, 0, 0
2300,0, 0, 0, -0.00305549, 0, 0
2320,0, 0, 0, -0.00463135, 0, 0
2340,0, 0, 0, -0.00617869, 0, 0
2360,0, 0, 0, -0.0076421, 0, 0
2380,0, 0, 0, -0.00900148, 0, 0
2400,0, 0, 0, -0.0102463, 0, 0
2420,0, 0, 0, -0.0035282, 0, 0
2440,0, 0, 0, -0.000636486, 0, 0
2460,0, 0, 0, 7.24865e-06, 0, 0
2480,0, 0, 0, 0.000651731, 0, 0
2500,0, 0, 0, 0.00195444, 0, 0
2520,0, 0, 0, 0.00354289, 0, 0
2540,0, 0, 0, 0.00520294, 0, 0
2560,0, 0, 0, 0.00681731, 0, 0
2580,0, 0, 0, 0.00832015, 0, 0
2600,0, 0, 0, 0.00262374, 0, 0
2620,0, 0, 0, 0.000344716, 0, 0
2640,0, 0, 0, -6.61067e-05, 0, 0
2660,0, 0, 0, -0.00089837, 0, 0
2680,0, 0, 0, -0.00229003, 0, 0
2700,0, 0, 0, -0.00391031, 0, 0
2720,0, 0, 0, -0.00557035, 0, 0
2740,0, 0, 0, -0.00716671, 0, 0
2760,0, 0, 0, -0.00863796, 0, 0
2780,0, 0, 0, -0.002775, 0, 0
2800,0, 0, 0, -0.000393593, 0, 0
2820,0, 0, 0, 4.90535e-05, 0, 0
2840,0, 0, 0, 0.000839456, 0, 0
2860,0, 0, 0, 0.00220577, 0, 0
2880,0, 0, 0, 0.00381239, 0, 0
2900,0, 0, 0, 0.00546683, 0, 0
2920,0, 0, 0, 0.00706455, 0, 0
2940,0, 0, 0, 0.00854422, 0, 0
2960,0, 0, 0, 0.00272799, 0, 0
2980,0, 0, 0, 0.000376279, 0, 0
3000,0, 0, 0, -5.56352e-05, 0, 0
3020,0, 0, 0, -0.000867676, 0, 0
3040,0, 0, 0, -0.00225478, 0, 0
3060,0, 0, 0, -0.00388072, 0, 0
3080,0, 0, 0, -0.00555138, 0, 0
3100,0, 0, 0, -0.00715673, 0, 0
3120,0, 0, 0, -0.00209532, 0, 0
3140,0, 0, 0, -0.000196199, 0, 0
3160,0, 0, 0, 0.000144103, 0, 0
3180,0, 0, 0, 0.00110982, 0, 0
3200,0, 0, 0, 0.00257902, 0, 0
3220,0, 0, 0, 0.00424172, 0, 0
3240,0, 0, 0, 0.0059175, 0, 0
3260,0, 0, 0, 0.0015592, 0, 0
3280,0, 0, 0, 7.80528e-05, 0, 0
3300,0, 0, 0, -0.000265004, 0, 0
3320,0, 0, 0, -0.00135891, 0, 0
3340,0, 0, 0, -0.00288854, 0, 0
3360,0, 0, 0, -0.00457002, 0, 0
3380,0, 0, 0, -0.00101412, 0, 0
3400,0, 0, 0, -6.58201e-06, 0, 0
3420,0, 0, 0, 0.000458793, 0, 0
3440,0, 0, 0, 0.00168692, 0, 0
