time,Vnom,I_mA,mAh_remaining
20,8.4,5.88,100
40,8.39999,534.496,99.9999
60,8.39999,579.291,99.9998
80,8.39998,709.683,99.9996
100,8.39998,742.296,99.9994
120,8.39997,843.03,99.9992
140,8.39997,864.578,99.999
160,8.39996,1019.76,99.9988
180,8.39995,1330.91,99.9985
200,8.39995,1058.77,99.9982
220,8.39994,1033.52,99.9979
240,8.39993,1118.65,99.9977
260,8.39992,1558.65,99.9973
280,8.39992,1218.75,99.997
300,8.39992,1062.23,99.9967
320,8.39991,1087.06,99.9964
340,8.39991,900.679,99.9962
360,8.39991,912.471,99.996
380,8.39991,657.614,99.9958
400,8.3999,761.312,99.9956
420,8.3999,782.735,99.9954
440,8.39989,826.179,99.9952
460,8.39989,917.6,99.995
480,8.39988,1036.46,99.9947
500,8.39988,607.468,99.9945
520,8.39988,422.477,99.9944
540,8.39988,461.095,99.9943
560,8.39988,636.928,99.9941
580,8.39987,766.065,99.994
600,8.39986,936.682,99.9938
620,8.39985,1169.37,99.9935
640,8.39984,1412.8,99.9932
660,8.39983,1716.31,99.9928
680,8.39984,822.762,99.9925
700,8.39984,699.997,99.9923
720,8.39984,623.512,99.9921
740,8.39983,875.208,99.9919
760,8.39982,1162.07,99.9917
780,8.3998,1723.12,99.9913
800,8.39979,1629.76,99.9909
820,8.39979,1291.78,99.9905
840,8.39979,1180.78,99.9902
860,8.39979,767.291,99.99
880,8.39979,583.908,99.9898
900,8.39979,735.307,99.9897
920,8.39978,826.562,99.9895
940,8.39977,1136.09,99.9892
960,8.39975,1672.62,99.9889
980,8.39974,2217.76,99.9884
1000,8.39973,2143.61,99.9878
1020,8.39972,1916.25,99.9873
1040,8.39973,1224,99.987
1060,8.39972,1113.56,99.9867
1080,8.39972,965.308,99.9864
1100,8.39971,1246.13,99.9862
1120,8.3997,1379.58,99.9858
1140,8.39969,1671.63,99.9854
1160,8.39968,1597.69,99.985
1180,8.39968,1530.65,99.9847
1200,8.39966,1966.7,99.9842
1220,8.39964,2522.93,99.9837
1240,8.39962,2941.04,99.983
1260,8.39962,1888.07,99.9824
1280,8.39963,1237.6,99.982
1300,8.39963,976.205,99.9818
1320,8.39962,1336.24,99.9815
1340,8.3996,1778.74,99.9811
1360,8.39961,965.488,99.9807
1380,8.39961,719.416,99.9805
1400,8.39961,611.66,99.9804
1420,8.39961,517.344,99.9802
1440,8.3996,532.32,99.9801
1460,8.3996,597.095,99.98
1480,8.3996,692.479,99.9798
1500,8.39959,746.097,99.9796
1520,8.39959,777.828,99.9794
1540,8.39958,798.362,99.9792
1560,8.39958,814.879,99.979
1580,8.39957,832.098,99.9788
1600,8.39957,850.748,99.9786
1620,8.39957,651.957,99.9784
1640,8.39957,438.236,99.9783
1660,8.39958,112.664,99.9782
1680,8.39957,263.181,99.9782
1700,8.39957,463.069,99.9781
1720,8.39956,577.953,99.9779
1740,8.39956,650.901,99.9778
1760,8.39955,703.433,99.9776
1780,8.39955,745.316,99.9774
1800,8.39955,778.844,99.9772
1820,8.39954,803.47,99.977
1840,8.39954,820.556,99.9768
1860,8.39953,834.588,99.9766
1880,8.39953,849.79,99.9764
1900,8.39952,866.75,99.9762
1920,8.39952,665.545,99.976
1940,8.39952,459.533,99.9759
1960,8.39953,125.835,99.9758
1980,8.39953,252.172,99.9758
2000,8.39952,452.787,99.9757
2020,8.39952,563.69,99.9755
2040,8.39951,630.797,99.9754
2060,8.39951,676.249,99.9752
2080,8.3995,710.519,99.975
2100,8.3995,738.527,99.9749
2120,8.3995,762.869,99.9747
2140,8.39949,785.329,99.9745
2160,8.39949,807.321,99.9743
2180,8.39948,829.23,99.9741
2200,8.39948,642.856,99.9739
2220,8.39948,418.734,99.9737
2240,8.39949,55.9529,99.9737
2260,8.39948,303.101,99.9736
2280,8.39948,484.768,99.9735
2300,8.39947,585.079,99.9734
2320,8.39947,646.649,99.9732
2340,8.39947,689.857,99.9731
2360,8.39946,724.303,99.9729
2380,8.39946,754.429,99.9727
2400,8.39945,782.102,99.9725
2420,8.39945,606.503,99.9723
2440,8.39946,354.817,99.9722
2460,8.39946,52.0049,99.9722
2480,8.39945,357.964,99.9721
2500,8.39945,517.545,99.972
2520,8.39944,607.119,99.9719
2540,8.39944,663.87,99.9717
2560,8.39944,705.342,99.9715
2580,8.39943,739.409,99.9713
2600,8.39943,562.189,99.9712
2620,8.39943,279.488,99.9711
2640,8.39944,138.195,99.971
2660,8.39943,402.18,99.971
2680,8.39943,541.607,99.9709
2700,8.39942,621.712,99.9707
2720,8.39942,674.074,99.9705
2740,8.39941,713.484,99.9704
2760,8.39941,746.422,99.9702
2780,8.39941,570.634,99.97
2800,8.39941,294.72,99.9699
2820,8.39941,121.081,99.9699
2840,8.39941,392.61,99.9698
2860,8.3994,535.919,99.9697
2880,8.3994,617.968,99.9695
2900,8.39939,671.257,99.9694
2920,8.39939,711.123,99.9692
2940,8.39939,744.355,99.969
2960,8.39939,568.062,99.9688
2980,8.39939,289.485,99.9687
3000,8.39939,128.039,99.9687
3020,8.39939,397.261,99.9686
3040,8.39938,539.254,99.9685
3060,8.39938,620.591,99.9684
3080,8.39937,673.561,99.9682
3100,8.39937,713.254,99.968
3120,8.39937,528.118,99.9679
3140,8.39937,221.455,99.9678
3160,8.39937,194.183,99.9677
3180,8.39937,432.665,99.9677
3200,8.39936,559.594,99.9675
3220,8.39936,633.704,99.9674
3240,8.39935,683.227,99.9672
3260,8.39935,483.3,99.9671
3280,8.39936,148.698,99.967
3300,8.39936,251.06,99.967
3320,8.39935,462.64,99.9669
3340,8.39935,576.66,99.9667
3360,8.39934,644.684,99.9666
3380,8.39934,419.545,99.9664
3400,8.39935,49.8853,99.9664
3420,8.39934,313.069,99.9663
3440,8.39934,495.206,99.9662
3460,8.39933,595.227,99.9661
3480,8.39933,656.732,99.9659
3500,8.39933,439.928,99.9658
3520,8.39933,80.6121,99.9657
3540,8.39933,295.651,99.9657
3560,8.39932,486.298,99.9656
3580,8.39932,590.275,99.9654
3600,8.39932,325.746,99.9653
3620,8.39933,90.5748,99.9653
3640,8.39932,379.719,99.9652
3660,8.39931,530.808,99.9651
3680,8.39931,616.172,99.965
3700,8.39931,670.872,99.9648
3720,8.39931,463.39,99.9647
3740,8.39931,116.893,99.9646
3760,8.39931,273.094,99.9645
3780,8.3993,474.487,99.9644
3800,8.39931,134.316,99.9644
3820,8.3993,261.271,99.9643
3840,8.3993,468.006,99.9642
3860,8.39929,579.616,99.9641
3880,8.39929,646.478,99.964
3900,8.39929,692.569,99.9638
3920,8.39929,497.812,99.9636
3940,8.39929,171.545,99.9635
3960,8.39929,235.004,99.9635
3980,8.39929,183.496,99.9635
4000,8.39928,427.843,99.9634
