time,acc.x,acc.y,acc.z,gyro.x,gyro.y,gyro.z,mag.x,mag.y,mag.z
20,-0.0129117, -0.0127671, -9.80115,-0.000664239, 0.000254591, 0.000475409,0.946079, 0.0925108, 0.340742
40,0.000581271, -0.00229043, -9.81807,0.0386437, -0.000942626, 0.0010274,0.932502, 0.0813988, 0.348727
60,0.0136523, -0.027528, -9.80911,0.225525, -0.000396364, -0.00200481,0.925988, 0.0935529, 0.352842
80,-0.0540892, -0.115513, -9.71313,0.543585, 0.0144423, -0.010415,0.922636, 0.0868213, 0.330067
100,0.0393472, -0.233114, -9.7014,0.923461, 0.0191457, -0.0141272,0.945948, 0.0907308, 0.348681
120,-0.280954, -0.476945, -9.68974,1.37287, -0.0760195, 0.0472873,0.945847, 0.0916651, 0.327505
140,0.0241121, -0.798063, -9.69067,1.90788, -0.154449, 0.0977888,0.935544, 0.103305, 0.352976
160,-0.165841, -1.24342, -9.64544,2.57006, -0.0542387, 0.0809257,0.940942, 0.133464, 0.312064
180,-0.263223, -1.80309, -9.54889,3.41231, 0.347333, -0.0728215,0.92632, 0.136099, 0.31589
200,0.470293, -2.55455, -9.54594,4.20578, 0.613901, -0.175198,0.935231, 0.174007, 0.303882
220,0.1873, -3.41129, -9.28476,4.83021, 0.560354, -0.122965,0.948847, 0.182827, 0.259084
240,-0.0461987, -4.32044, -8.7071,5.40657, 0.256002, 0.0392827,0.938446, 0.218313, 0.248637
260,-0.174288, -5.32141, -8.32524,6.13803, -0.316454, 0.343809,0.956481, 0.25039, 0.227362
280,0.474855, -6.33715, -7.41534,6.83516, -0.746774, 0.559871,0.924336, 0.278599, 0.189432
300,0.400741, -7.33854, -6.42757,7.29695, -0.772898, 0.55474,0.920205, 0.322267, 0.174136
320,-0.212162, -8.21217, -5.2439,7.6598, -0.619605, 0.457245,0.951959, 0.358181, 0.112078
340,-0.76187, -8.95481, -4.10722,7.82036, -0.335246, 0.285682,0.911326, 0.356852, 0.0732188
360,-0.848797, -9.45573, -2.67038,7.72573, -0.017896, 0.0930716,0.923504, 0.386725, 0.013727
380,-0.555799, -9.74822, -1.04797,7.36132, 0.245383, -0.0648002,0.943521, 0.383028, -0.044539
400,-0.209193, -9.78851, 0.168042,6.80759, 0.374629, -0.144384,0.933675, 0.367525, -0.101014
420,-0.322412, -9.65821, 1.61651,6.20196, 0.401964, -0.157558,0.902387, 0.358704, -0.170778
440,-0.367625, -9.41694, 2.56189,5.61321, 0.384306, -0.157425,0.917492, 0.317159, -0.204547
460,-0.55664, -9.11683, 3.73112,5.04446, 0.218785, -0.249714,0.931443, 0.307862, -0.243903
480,-0.588436, -8.71971, 4.58686,4.50042, -0.203696, -0.503296,0.915823, 0.279145, -0.270752
500,-0.0845361, -8.30846, 5.30599,3.99407, -0.386865, -0.604864,0.90924, 0.23003, -0.28253
520,0.0516299, -7.91672, 5.92353,3.58541, -0.404986, -0.605489,0.936602, 0.208351, -0.283448
540,0.210084, -7.50675, 6.27727,3.25711, -0.420549, -0.608279,0.953598, 0.145231, -0.306956
560,0.340986, -7.09313, 6.89524,2.90314, -0.4347, -0.606801,0.959658, 0.152687, -0.295977
580,0.336104, -6.68657, 7.07789,2.51034, -0.425346, -0.595978,0.953893, 0.0974272, -0.306418
600,0.173447, -6.36211, 7.37148,2.10173, -0.244252, -0.478496,0.950779, 0.0636165, -0.282447
620,0.0651789, -6.0814, 7.60767,1.6767, 0.163272, -0.223368,0.948219, 0.0787261, -0.294602
